# Column 1: Phase angle [deg], Column 2: phase integral at albedo 0, Column 3: phase integral at albedo 1.
0.000000e+00, 1.00000e+00, 1.000000e+00
2.000000e+01, 8.654427e-01, 9.114073e-01
4.000000e+01, 6.208420e-01, 7.082740e-01
6.000000e+01, 3.892428e-01, 4.900848e-01
8.000000e+01, 2.399216e-01, 3.060673e-01
1.000000e+02, 1.570253e-01, 1.788695e-01
1.200000e+02, 1.098726e-01, 9.407792e-02
1.400000e+02, 6.561321e-02, 3.978817e-02
1.600000e+02, 2.395879e-02, 1.062003e-02
1.800000e+02, 0.000040e-03, 0.000439e-03
